hshd_id,shabit,net_spend_amt,prod_desc,year,month,day
5628979711,Valuable,0.99,HMK CARD EASTER,2017,4,8
3819614239,Premium Loyal,0.99,HMK CARD EASTER,2017,4,11
3481727831,Premium Loyal,4,HMK CARD EASTER,2017,4,12
3819614239,Premium Loyal,1.5,HMK CARD EASTER,2017,4,11
3417188401,Premium Loyal,3,HMK CARD EASTER,2017,4,11
3395789953,Premium Loyal,1.5,HMK CARD EASTER,2017,4,15
3832185751,Uncommitted,3.59,HMK CARD EASTER,2017,4,15
3630464401,Premium Loyal,0.49,HMK CARD FRIEND,2017,4,3
3793889863,Valuable,3.49,HMK CARD FRIEND,2017,5,15
3625940483,Valuable,1.99,HMK CARD THANKS,2017,3,13
3807522447,Premium Loyal,2.99,HMK CARD THANKS,2017,3,31
3804227155,Valuable,4.49,HMK CARD THANKS,2017,5,20
3788518331,Premium Loyal,1.99,NUTV SHORTENING,2017,3,28
6226243525,Premium Loyal,6.78,PRSL ROSE SAUCE,2017,3,9
3795297945,Potential,3.99,RPG EASTER CARD,2017,3,25
8614328969,Premium Loyal,1.09,A G BRTHDAY CNDL,2017,5,30
5003245865,Premium Loyal,5.49,AG ED INVEN CARD,2017,3,3
3636369665,Potential,5.49,AG ED INVEN CARD,2017,5,13
3475850373,Valuable,1.99,AG EVERYDAY CARD,2017,3,22
5003300615,Potential,1.99,AG EVERYDAY CARD,2017,4,19
3575589649,Premium Loyal,1.99,AG EVERYDAY CARD,2017,5,5
3694743885,Premium Loyal,1.99,AG EVERYDAY CARD,2017,5,24
5003250755,Uncommitted,1.99,AG EVERYDAY CARD,2017,5,30
3604180445,Premium Loyal,3.69,AG EVERYDAY CARD,2017,4,8
3470794787,Premium Loyal,3.69,AG EVERYDAY CARD,2017,4,11
3467455537,Premium Loyal,3.98,AG EVERYDAY CARD,2017,3,30
3475013783,Premium Loyal,3.99,AG EVERYDAY CARD,2017,3,25
3454167223,Premium Loyal,4.24,AG EVERYDAY CARD,2017,5,12
4998928909,Uncommitted,4.49,AG EVERYDAY CARD,2017,3,7
3495729013,Valuable,4.69,AG EVERYDAY CARD,2017,3,1
3480632679,Premium Loyal,4.69,AG EVERYDAY CARD,2017,3,10
3475013783,Premium Loyal,4.69,AG EVERYDAY CARD,2017,4,14
3473998695,Valuable,4.69,AG EVERYDAY CARD,2017,4,15
3783890463,Uncommitted,4.69,AG EVERYDAY CARD,2017,4,22
3472859209,Potential,4.69,AG EVERYDAY CARD,2017,5,7
3513958515,Uncommitted,4.69,AG EVERYDAY CARD,2017,5,13
5003454691,Premium Loyal,4.69,AG EVERYDAY CARD,2017,5,26
3646744305,Premium Loyal,4.99,AG EVERYDAY CARD,2017,3,25
3620982763,Potential,4.99,AG EVERYDAY CARD,2017,5,4
3470794787,Premium Loyal,4.99,AG EVERYDAY CARD,2017,5,20
4998928909,Uncommitted,5.12,AG EVERYDAY CARD,2017,3,7
5003500873,Potential,5.12,AG EVERYDAY CARD,2017,4,4
3705342205,Premium Loyal,5.69,AG EVERYDAY CARD,2017,4,22
3674494847,Potential,5.69,AG EVERYDAY CARD,2017,4,24
3471432223,Premium Loyal,5.69,AG EVERYDAY CARD,2017,5,29
3471370921,Valuable,5.84,AG EVERYDAY CARD,2017,3,7
3472053493,Premium Loyal,5.99,AG EVERYDAY CARD,2017,4,5
3477312569,Premium Loyal,5.99,AG EVERYDAY CARD,2017,5,11
3569700837,Potential,5.99,AG EVERYDAY CARD,2017,5,16
3472051457,Valuable,6.49,AG EVERYDAY CARD,2017,4,1
4999113725,Premium Loyal,6.49,AG EVERYDAY CARD,2017,5,28
4999167387,Potential,3.79,CARDS RPG FATHER,2017,5,29
4999167387,Potential,3.79,CARDS RPG FATHER,2017,5,29
4999167387,Potential,3.99,CARDS RPG FATHER,2017,5,29
6114006715,Premium Loyal,3.39,CARDS RPG MOTHER,2017,5,11
3468912669,Valuable,4.59,CARDS RPG MOTHER,2017,5,12
3783890463,Uncommitted,2.15,EASTER L/NAPKINS,2017,4,15
3727499445,Premium Loyal,2.39,EASTER L/NAPKINS,2017,3,21
3517478237,Valuable,2.99,HMK CARD ANNIVER,2017,4,1
3517478237,Valuable,2.99,HMK CARD ANNIVER,2017,4,1
5389385769,Potential,3.99,HMK CARD ANNIVER,2017,4,14
3769035275,Premium Loyal,4.99,HMK CARD ANNIVER,2017,4,14
3440922073,Valuable,3.99,HMK CARD ANNIVER,2017,4,10
3483837947,Premium Loyal,3.99,HMK CARD ANNIVER,2017,4,21
3593414549,Uncommitted,7.95,HMK CARD ANNIVER,2017,5,15
3517478237,Valuable,0.99,HMK CARD BRTHDAY,2017,4,1
3795297945,Potential,2,HMK CARD BRTHDAY,2017,3,22
3795294413,Potential,2,HMK CARD BRTHDAY,2017,3,26
3805064887,Premium Loyal,2,HMK CARD BRTHDAY,2017,5,14
3517478237,Valuable,2.99,HMK CARD BRTHDAY,2017,3,3
4890906461,Premium Loyal,2.99,HMK CARD BRTHDAY,2017,3,15
3517478237,Valuable,2.99,HMK CARD BRTHDAY,2017,4,1
3642950037,Premium Loyal,2.99,HMK CARD BRTHDAY,2017,4,18
4857747787,Potential,2.99,HMK CARD BRTHDAY,2017,4,23
3625940483,Valuable,2.99,HMK CARD BRTHDAY,2017,5,29
3625940483,Valuable,2.99,HMK CARD BRTHDAY,2017,5,29
3720293979,Premium Loyal,3.99,HMK CARD BRTHDAY,2017,3,3
3795110815,Premium Loyal,3.99,HMK CARD BRTHDAY,2017,3,25
3618324583,Valuable,3.99,HMK CARD BRTHDAY,2017,4,1
5003426241,Premium Loyal,3.99,HMK CARD BRTHDAY,2017,4,2
3633552987,Premium Loyal,3.99,HMK CARD BRTHDAY,2017,4,21
3772518563,Potential,3.99,HMK CARD BRTHDAY,2017,4,24
3763726725,Potential,3.99,HMK CARD BRTHDAY,2017,4,30
3791460213,Premium Loyal,3.99,HMK CARD BRTHDAY,2017,5,8
3597155385,Uncommitted,3.99,HMK CARD BRTHDAY,2017,5,16
3766103217,Premium Loyal,3.99,HMK CARD BRTHDAY,2017,5,30
3774879233,Valuable,3.99,HMK CARD BRTHDAY,2017,5,31
3769200151,Premium Loyal,4.99,HMK CARD BRTHDAY,2017,3,4
5396994081,Premium Loyal,5.95,HMK CARD BRTHDAY,2017,4,29
3528382543,Valuable,5.99,HMK CARD BRTHDAY,2017,4,7
3769200151,Premium Loyal,5.99,HMK CARD BRTHDAY,2017,4,19
4999556915,Potential,6.99,HMK CARD BRTHDAY,2017,3,16
8614328969,Premium Loyal,6.99,HMK CARD BRTHDAY,2017,4,12
6021161317,Premium Loyal,6.99,HMK CARD BRTHDAY,2017,4,29
3778802193,Valuable,7.99,HMK CARD BRTHDAY,2017,4,29
3799448379,Premium Loyal,2.99,HMK CARD BRTHDAY,2017,3,12
3799448379,Premium Loyal,2.99,HMK CARD BRTHDAY,2017,3,12
3649484287,Valuable,2.99,HMK CARD BRTHDAY,2017,4,26
3643214895,Premium Loyal,3.49,HMK CARD BRTHDAY,2017,3,9
3804317755,Premium Loyal,3.49,HMK CARD BRTHDAY,2017,3,11
3556528327,Premium Loyal,3.59,HMK CARD BRTHDAY,2017,5,21
3813729813,Premium Loyal,3.69,HMK CARD BRTHDAY,2017,3,5
3810401591,Potential,3.99,HMK CARD BRTHDAY,2017,3,17
3799240119,Uncommitted,3.99,HMK CARD BRTHDAY,2017,4,15
3797354373,Valuable,3.99,HMK CARD BRTHDAY,2017,5,8
3821845145,Potential,4.99,HMK CARD BRTHDAY,2017,3,15
8614266333,Potential,4.99,HMK CARD BRTHDAY,2017,3,17
3613264013,Uncommitted,4.99,HMK CARD BRTHDAY,2017,4,5
3609956937,Premium Loyal,4.99,HMK CARD BRTHDAY,2017,4,28
3816077177,Valuable,4.99,HMK CARD BRTHDAY,2017,4,29
3449553895,Premium Loyal,2,HMK CARD BRTHDAY,2017,3,29
3442564141,Premium Loyal,2,HMK CARD BRTHDAY,2017,4,11
3481972693,Uncommitted,3.99,HMK CARD BRTHDAY,2017,3,19
3479744189,Premium Loyal,3.99,HMK CARD BRTHDAY,2017,3,20
3478417051,Valuable,3.99,HMK CARD BRTHDAY,2017,5,12
3479479923,Premium Loyal,3.99,HMK CARD BRTHDAY,2017,5,25
3801401699,Valuable,4.99,HMK CARD BRTHDAY,2017,4,27
3764381029,Premium Loyal,4.99,HMK CARD BRTHDAY,2017,5,30
5003541513,Uncommitted,7.98,HMK CARD BRTHDAY,2017,4,23
3596923369,Uncommitted,4,HMK CARD BRTHDAY,2017,3,8
3621081839,Valuable,3.99,HMK CARD BRTHDAY,2017,3,18
